keyword,volume,kd,cpc,ai_overview,image_pack,page_type,artifact,occasion,target_url,recommendation
party invitations templates,480,51,0.60,no,yes,artifact-hub,invitation,,/invitations/,SKIP-KD
pool party invite template,480,29,0.50,no,yes,combination,invitation,pool,/pool/invitations/,BUILD-1
printable party games for christmas,480,4,0.00,yes,no,combination,game,christmas,/christmas/games/,SKIP-AIO
retirement party invitation template,480,24,0.54,no,yes,combination,invitation,retirement,/retirement/invitations/,BUILD-1
birthday party invitations templates,390,43,0.59,no,yes,combination,invitation,birthday,/birthday/invitations/,SKIP-KD
christmas party invitation templates,390,45,0.44,no,yes,combination,invitation,christmas,/christmas/invitations/,SKIP-KD
christmas party invite template,390,33,0.93,no,yes,combination,invitation,christmas,/christmas/invitations/,BUILD-2
free graduation party invite template,390,29,0.68,no,no,combination,invitation,graduation,/graduation/invitations/,BUILD-1
free invitation templates for graduation party,390,32,0.68,no,no,combination,invitation,graduation,/graduation/invitations/,BUILD-2
free party invitation template,390,45,0.44,no,yes,artifact-hub,invitation,,/invitations/,SKIP-KD
